Experiment,Accuracy,Precision,Recall,F1
Random Split Baseline,0.8475106944570856,0.6991148017210667,0.8154067444462202,0.7527960574851713
Proper Unseen-Domain Evaluation,0.7918490277613488,0.5950660480210948,0.7726748971193416,0.6723387189182995
